LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Eastleigh,200000,200000,207000,210000,225000,244950,264000,287000,295000,300000,310000,315000
Fareham,205000,204500,213000,212500,229995,245000,262500,285000,285000,290000,310000,318000
Gosport,145000,143000,145000,150000,159950,167500,182000,202000,205000,207000,220000,230000
Hart,275000,285000,295000,300000,335000,370000,394400,397000,395000,397500,425000,425000
Havant,190000,185000,186000,199995,219995,230000,250000,262000,265000,272000,295000,310000
New Forest,245000,243500,246000,245000,260000,285000,300000,322500,322500,330000,358000,379950
Rushmoor,204950,200000,200000,208500,229950,250000,282000,300000,295000,300000,308000,325000
Test Valley,240000,234500,237500,234000,242998,266000,283500,300000,305000,310000,317248,333000
Winchester,295000,292500,295000,310000,328000,357000,370000,417500,403000,415000,440000,457000
Ashford,192000,178000,190000,197000,220000,233000,250000,270000,285000,283000,310000,317000
Canterbury,205000,200000,205000,210000,229475,245000,270000,289250,299995,302500,323625,338000
Dartford,187000,185000,197500,201495,220000,253000,288000,305000,307250,320000,312330,340000
Dover,165000,157000,160000,168750,186000,195000,213995,232500,245950,250000,261500,280000
Gravesham,178000,180000,181500,187875,206467,230000,263000,285000,295000,290000,310000,330000
Maidstone,205000,197500,205000,210000,227500,250000,272000,298000,311998,315000,325000,345000
Sevenoaks,270000,282000,290000,285000,327750,350000,375000,387000,410000,400000,425000,442250
Folkestone and Hythe,180000,175000,179995,180000,187000,205000,225000,249950,250000,258000,280000,302000
Swale,159000,156000,158500,167000,180000,195738,225000,239973,245000,250000,265000,280000
Thanet,160000,154000,155000,157500,174950,180000,202500,220000,238000,238000,255000,285000
Tonbridge and Malling,240000,235000,239000,249950,275000,295000,325000,342250,347750,350000,360000,375000
Tunbridge Wells,250000,245000,250000,250000,267000,315500,332500,363000,375000,380000,403750,425000
Cherwell,209500,210000,211500,220000,247500,270000,300000,303975,315000,310000,310000,327000
Oxford,260000,260000,278000,287500,315000,350000,375000,400000,392500,395000,417500,428750
South Oxfordshire,285000,270000,276000,285000,300000,330000,365000,385000,390000,385000,412000,435750
Vale of White Horse,249999,245000,250000,250000,278000,310000,330000,345000,349995,340000,352000,370000
West Oxfordshire,233000,237500,240000,245000,263500,285000,315000,335000,340000,340000,355500,350000
Elmbridge,395000,393950,410000,430000,460000,505000,537500,570000,570000,585000,600000,640000
Epsom and Ewell,316250,320000,317750,327000,365000,425000,455000,470250,470000,465250,500000,520000
Guildford,305000,295000,310000,315000,345000,379475,420000,430000,447000,435000,465000,480000
Mole Valley,349975,343750,372000,376000,399475,442000,475000,500000,489975,474750,550000,549975
Reigate and Banstead,284995,265000,275000,290500,326500,355000,387000,395000,409000,415000,435000,452000
Runnymede,265000,270000,252500,280000,320000,350000,379950,400000,397500,397000,425000,445000
Spelthorne,245000,250000,250000,265000,287250,325000,385000,385000,385000,390000,415000,420000
Surrey Heath,275000,275000,288000,299950,320000,350000,379000,402500,415000,420000,442250,440000
Tandridge,305000,291475,285000,310000,340000,381938,399950,420000,413250,435000,457500,475000
Waverley,325000,325000,335500,340000,370000,400250,430000,435000,485975,460000,500000,505000
Woking,265000,250000,260000,270000,301500,345000,380000,407750,390000,390000,415000,440000
Adur,207000,202500,215000,218000,241000,265000,290000,300000,312500,312500,320000,357500
Arun,212000,200000,210000,217498,230000,245000,266500,280000,290000,285000,300000,325000
Chichester,265000,265000,270000,275000,295000,317000,343000,358000,370000,359975,395000,405000
Crawley,185000,181250,187500,205000,227500,250000,271250,285000,295625,290000,302750,310000
Horsham,260000,268500,273000,285000,317500,345000,359950,372000,382500,380000,410000,420000
Mid Sussex,249950,249475,250000,270000,296000,325000,356750,366000,370000,380000,390000,405000
Worthing,200000,195000,200000,201250,227500,247000,263000,280000,295000,287500,302500,330000
Bath and North East Somerset,236500,230000,230000,237500,249950,270000,305000,318775,327500,324995,345000,365000
"Bristol, City of",174950,170000,174000,177725,194000,215000,242000,259250,265000,270000,290000,315000
North Somerset,190000,184000,184000,191000,205000,215000,230000,242500,251995,260000,279000,299950
South Gloucestershire,186000,180000,185000,190000,205000,230000,245000,260000,270000,277500,294000,300000
Plymouth,145000,142000,143000,146000,158000,162000,165625,170000,178000,179000,185000,195000
Torbay,163500,161000,158000,162000,169375,177000,183000,192500,195000,199000,210000,235000
Swindon,158000,150000,150000,157000,164998,182000,196000,220000,230000,230000,232500,240000
Cornwall,190000,184000,185000,185000,194000,200000,210000,219950,225000,229995,250000,273000
Isles of Scilly,305000,335000,340000,275000,235000,280000,305000,325000,360000,337500,355000,344000
Wiltshire,203000,205000,200000,200000,217500,230000,245000,265000,271975,275000,285000,300000
"Bournemouth, Christchurch and Poole",212000,206750,210000,215000,226000,242000,250000,267500,275000,283500,296000,320000
Dorset,230000,227000,230000,232000,240000,252500,268000,283000,285000,285000,312975,330000
East Devon,226500,225000,220748,217950,230000,240000,247000,265000,280000,280000,295000,310000
Exeter,184950,182500,186000,190000,203250,221000,230000,244000,250000,249995,264700,275000
Mid Devon,185000,184000,180000,189995,190000,202500,212250,225000,235000,235250,259000,270375
North Devon,193000,185000,192750,191750,199951,217000,219999,230000,239950,252500,260000,285000
South Hams,249950,235000,238000,241000,250000,273975,275000,285000,297498,290000,330000,350000
Teignbridge,200000,190000,195000,199950,210000,218000,231875,238000,250000,249950,260000,280000
Torridge,189475,175000,179950,178000,188975,199950,200000,211250,218000,224950,240000,265000
West Devon,192750,183750,192500,192250,195000,215000,215000,218500,235000,245500,270000,285000
Cheltenham,204000,192550,200000,205000,217000,225000,240000,260000,271177,264000,285000,299950
Cotswold,282000,250000,265000,275000,295000,317750,335000,349473,355000,342500,385000,408000
Forest of Dean,178500,170000,165000,165000,170000,183500,190000,205000,220000,230000,256000,269950
Gloucester,146500,140000,142000,148000,158000,165000,177000,185975,193000,204500,217500,222000
Stroud,194998,185000,190000,195000,210000,225000,232500,258500,270000,270000,290000,310000
Tewkesbury,190000,182750,189995,198500,211500,227000,240000,257625,269995,270000,286000,285000
Mendip,184475,179725,180000,185000,195000,212500,235000,246000,261000,258650,282000,288000
Sedgemoor,167000,163000,168000,166500,170000,180000,192500,208000,215000,215000,226995,245000
South Somerset,178000,175000,175000,175000,185000,190000,200000,214750,219500,226000,237000,257000
Somerset West and Taunton,190000,175000,182000,184000,193000,202500,204775,218950,225000,230000,240000,260000
